Address,Raw Amount,Formatted Amount (6 decimals)
0xbf4101e500419cD28c662adadad14EDA897729aC,2272858546,2272.858546
0xFd8383Bb8cd3fEBf88e2adAB0e3592ce211D7972,1896351342,1896.351342
0xee0035095cedc975B809f1390A2eE501Ff1C54A3,1435910482,1435.910482
0xa8aC0CAbB75a3842Fb8cbBe18359F71711cf95B7,1157630436,1157.630436
0xAca3b4110403F3c4dacb35A7B3Aa0a84eFb6A3e9,1055049214,1055.049214
0x8663837FBC112dd5Ca3a6453d22326142B0F64CE,980632500,980.632500
0xefBC83aC5Abc720aCA40a9f5D541fB1659a2d4Ea,846736046,846.736046
0xB6605F98A5562b1AC821Bc5f2B75934239e8c6D6,797268910,797.268910
0x511cD6E03eF69e657908dDf8eDf212A7D93bb3EB,794804492,794.804492
0xEaf8B8058A4A08Ae97Db4c80Ca10ffa7261438F7,788975438,788.975438
0xe7D7E331BAd428abe8140d85443077Acad8557bA,788851676,788.851676
0x3636bf7d79b807d2f2B274870e5fa19e7bFf4b9A,787846178,787.846178
0x44006f90Cc883C5bB454D508d4D1ad323C6cd97A,787454976,787.454976
0xf1f2861f1d212b77aA8e72E8F97E4992175FfF86,787429908,787.429908
0x8990779f2c8fD9fE9Efd1c1eAf323ea80A64AB8e,787245458,787.245458
0xf29e6eE3A7Ec1CAC0a330726d2f98b9C92A797AF,786708082,786.708082
0xf00748CB5676DA5BC144fC7d352e08A51Ddd89fe,786381534,786.381534
0xc108B793e293f1aaC19418e899397e62fdF02575,586136640,586.136640
0x5F13fBd61Bc5DC77758D72F4fBf17ba591F1962f,571211632,571.211632
0x8E5C97c736d5a11c736E6Cdfdf334717110615d8,562449126,562.449126
0xba63eB6190568107aDbd5daC9B25842Cf9Fe61Ed,557106940,557.106940
0x2e92B5595a211ec362848270216d4a9f5eC07621,554135396,554.135396
0x6D33ECD723155522d597682Df1f0Ac10e7D7D9ed,543916740,543.916740
0x9ddeA6c0BfA53bdF244aDE7Ba5Ed7e227F6e58B4,492843498,492.843498
0x0F8B8801a738ba366b1703C35057c0FA6bcEf5dd,466785368,466.785368
0x0C0bc50B173c5D1dfAd2FbF1CCBB920Ddc593A1D,453629630,453.629630
0xa7b5404d08568Fd62baC18F2a1A7df72fd858012,423021540,423.021540
0x085737816a96fC5b8c16A0b467fBc6e2f2e925B5,392196970,392.196970
0x8572d88635a94647169B74af7AbD43c2061701ee,382152912,382.152912
0x89711B4F4C32ABbD8b86A0693a9aB91A7F6CA922,367099086,367.099086
0x8Af0502F8260A8c5c4d9F893128c14525086b461,362859024,362.859024
0x69888cde618126c41fF6598ddc238e96d37E8581,360668376,360.668376
0xb999449A1aba9e807ced3BBc76934298Fefc2C8c,353064626,353.064626
0xF5e797F1B28B8299b57a9c13256D10929B787429,336194340,336.194340
0x17070A57C8Cf2efE15087Ebc318dBfC036285c07,336194334,336.194334
0x0D5CAEf6f2B269A8FeA36Cd375FE412E0185BD93,336194184,336.194184
0x83a2fEC47453A0337c9BBd403bDDd1b42c2d825F,334884754,334.884754
0x00bC5b61042Fa8375DbA651A2309Bc5595302ec1,334677438,334.677438
0x55d6f8cB72E699eadECc00278f69Fa2c2C8BC9Da,324586956,324.586956
0xABcddcD00c5b0305e86713F783C09EbB3B1e6523,317039668,317.039668
0x42Ab25A9508b1e0b3eC1E0E0E9820aF9e294AdC6,315313382,315.313382
0xC7B42F99c63126B22858f4eEd636f805CFe82c91,310197654,310.197654
0xf2ceFcc7b9F3ce470b6d2F268E618b97D972D8c2,297648860,297.648860
0x88Cb0D62bA3eA56B0b5B398569a31d6d4275f2c1,297422880,297.422880
0x8CcEC4563E85A0227D1f539bfc9689eDc71Da1C6,297374084,297.374084
0x956E0A647E7851a838ded669E4d58E8990Ed249C,294596074,294.596074
0x5F956ca9a2eD963Bf955E9e4337E0A4F1d2Dd8e9,279676140,279.676140
0x002cE5B0bf039d2fd3EbE3791884bF384B12bf7f,264342246,264.342246
0xE162D684e5EA71fdbbD944243F2acA1cB0100460,262253766,262.253766
0x5F02FB75c509E3A12d316AE1302ee933D5BfA1c3,261181101,261.181101
0xA5AEAF279Fb978BCF2295ef0820Cd983b0dfe9e3,255176160,255.176160
0xE44F3288128c049c2516035F5d20d5cC54a467e8,254398012,254.398012
0x5FD4fC7CBDE1413af8F889D6dDc2b412897132a0,253826184,253.826184
0x04E45eE310048F79D0eb1D7eFedAA45c1973DcC1,251924070,251.924070
0x9b0AB941B8a983857811d62D385035b69EC8BC43,249597058,249.597058
0xA1BA71A032bD935274223e86c6BFBaB6B815B465,247143482,247.143482
0x693c7524aa242e52bB71461E7B1185ec6A6aD182,246234560,246.234560
0xe621b5e73fB3213e7EB3C27dd60D337D2D07e1E3,238656310,238.656310
0x86B38CA19E01beEb46fC5B7954EAF2DA58c93EeE,231705912,231.705912
0x61742dF6f341F84c59c408d203e7BD38BE3B85B0,229904210,229.904210
0x70EE94eebf253b4d92905C5D49ff090908b710B2,226417164,226.417164
0xe746f87c7f3C55b48fC8570c5126DB680EEAB078,219879772,219.879772
0x3387c3ced164f7b9711d6fb322493D19d10EA673,219112464,219.112464
0x50Fa9c2967Be2feb247192EC42A259128fdfd18a,216023114,216.023114
0xbfB116f6D2b679a6d5c1cCA8188F4B9e26a6E078,215242236,215.242236
0x02b6bD2420cCADC38726BD34BB7f5c52B3F4F3ff,215105984,215.105984
0x8a322F1B170DfB41691e0Fe38b33803f626ebf9C,214798224,214.798224
0x14Ff0Bc9417B6796f79768729002A793b51205B8,210636356,210.636356
0x395Bf242bDA2677868633B8B839c9e22E0567D96,209611700,209.611700
0xC64f113fc97F3EB621cca6B14010D6900e1C406D,207617404,207.617404
0x905C725b0a212D983DB834309F1bA086847cC2Ee,204848704,204.848704
0x756df242aecc22ad73d6093Ea0487EE21B0E3A9D,203756588,203.756588
0xbDa76ec62F62da715eeEDB868eC759D9CAAcd72d,196378452,196.378452
0x92a4F58009dF9eaC5f2AF6d05977683639f0060e,194332082,194.332082
0xaFB4dbB82babEcFF51d50F73b88e449f875743B8,194313888,194.313888
0xba22e08a7597285A35c5be320E753BE93a14AAf2,192082958,192.082958
0x75cA2C8D54b80AF5a68b1F5E45b3e24A783445a1,191582280,191.582280
0x3b4650b8634513c057Aa9041CF82FA84550808BF,188695850,188.695850
0x8fB20c72139B2A971Ab814503D61111349f8Cc78,188591658,188.591658
0x25730E458139779921C4D895a4887c0Cf5524C2E,185662394,185.662394
0xAd8ec86c8368A785d15411abbcf12270c1980aCf,184617186,184.617186
0x4Fe40Ba6F73874437be87Ee6e4051B94d867DC03,183976420,183.976420
0xfd60631F85CE721df328FceB385664b52b115418,179283578,179.283578
0x4401ED8220f07BDa950873AF14B140122aa1f429,177927546,177.927546
0xd07556cEB045DbDBD7d44955BcD4ccCCb5bFff47,172357870,172.357870
0x11B0C4093e5770F7E584eF763B6eA7d304889a29,171792800,171.792800
0x3573DB64F2562A3458b27B0C5744b1eF196dD6AC,170575458,170.575458
0x9092baEfF0aBDD6ac6E92fc4e7fedb7Ca71D7011,169455078,169.455078
0xA6ea86902726857AA4F0EEdd50992470Df81c56c,166461222,166.461222
0xd0392E43557Dad622DB230C515ede5810E085EC4,166020652,166.020652
0x58990dF5445110743D623BF7ee950a5e5fB6985A,165894636,165.894636
0xC67f492aBc91fC2aE106610dB5C0096cC544374A,165894104,165.894104
0xfA425fc1070CA72976e7B8c536805b2107E77a6e,163781706,163.781706
0x067eA31b99846F16e679fb2b65b43f6682603083,163544202,163.544202
0xdd1c5aEBd67F3c662Fb6487dF60cB5FdB1823A1a,162007700,162.007700
0xD2F132930EA3C58A389C6AD3A91eF104f95fE697,160535536,160.535536
0xBE46FC5cB5b4b20d636DFe193b08F40fBcfBf898,159061242,159.061242
0xcb15429824A8B4ff14e69A0a9BeF0bdde779D9ce,157301306,157.301306
0x1d4537AD0802516Db915248de63a6Be18A67582e,157296470,157.296470
0xD51983c46e4C993DFe7063deD181Da03d8cD2De8,156966742,156.966742
0x0F3f647e19ddf45D1a963527Db2Af07c8175Db20,156148222,156.148222
0x00263ed98264B3E6A5E62f3A7cb47C218C72eF03,155625798,155.625798
0xc3F4EcF963E053eB7509642569C81DEed2a3Be1A,155519188,155.519188
0x192820CE84FA9eb457Fb228c386fE0ed22F7E33C,155508930,155.508930
0x0E3e8cA58F9f0a590aD39F2E9C9779184d504e5a,155193540,155.193540
0x55ACa1CDA1281B7509144b6e9d4DeC2D59E6ea6D,154408260,154.408260
0x0ab79c7bfce61f70Df8C7A6dA088f9d50C362636,153582656,153.582656
0x6a0d078799F60C9a4A8C325e07800Db05CC4E0ef,150751484,150.751484
0xf7b5d51bdD1e126b5b442faB73e50d943116452a,150594194,150.594194
0x5aAb6A96C74f2cDd8ac758800B02A06307276B4e,150592008,150.592008
0x890d60fDB3AEe1FDF90b8858a34A208cF4AD1A40,150496808,150.496808
0x0035AA0Afa54B43b39B8909E5544D8C2EA89AfBd,148339494,148.339494
0x1f6f6beAC04d861dc6547A44A0A1704f6b63590f,147539706,147.539706
0x467Ba5774AF9B509aF745a0870FCFabb34acFCC8,147191356,147.191356
0x18904601Cc4f679A150faBFD473d72976525C370,145310312,145.310312
0xA0376c7605c51c489B2F6d6aede22439fb18E31E,145008696,145.008696
0xFeA9FCbE9f6Aa0b8BB3037FCEE8c0aD2bF6B4388,144804024,144.804024
0x98a5272Ac5729906Cc274BF75271F9F844BDb460,144359262,144.359262
0x562bfF166FC684b94e3386caC1368Ae8a491ad35,144008706,144.008706
0xEf99600684ba23DD9D768c2bfcdC0147686488F8,143990034,143.990034
0x344cdAe9A514A52A78833F2d6438c8916Fc0b290,143990034,143.990034
0x78A52715e4C79187ba4c68156dd85140C57BBAC6,142987098,142.987098
0xFe9a17DC9e04bEc01E9bE51d9D5c48A6d42BCd22,141467122,141.467122
0x2b1f184C2E7BfFb64a6685eE75e00ff500AF8A9F,140615620,140.615620
0xc5372a76837B1A75C1cF6B3Ac46c15E820356a62,140019932,140.019932
0x8cff04CB7818A8F36B2cc840D12a62AC1d3B3F36,139553932,139.553932
0xCC72495613a4F8C20D74b19063f9937edb4B6B51,138546448,138.546448
0x0AE6C833121d9757ddFA3586b49981B51F73F996,138352588,138.352588
0x2b26dA567C2A8c220daF91be8E37A429D33AEF0B,138219612,138.219612
0xA33aDB1A20d38D4AA2be2510b1143d128e139BE9,137546704,137.546704
